INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT
609	1	5	3	3	20307186	1	398	100		0
610	1	5	3	4	20307185	1	398	100		0
611	1	5	3	5	20307184	1	398	100		0
612	1	5	3	6	20307183	1	398	100		0
613	1	5	3	7	20307182	1	398	100		0
614	1	5	3	8	20307181	1	398	100		0
615	1	5	3	9	20307180	1	398	100		0
616	1	5	3	10	20307179	1	398	100		0
617	1	5	3	11	20307178	1	398	100		0
618	1	5	3	12	20307177	1	398	100		0
619	1	5	3	13	20307176	1	398	100		0
620	1	5	3	14	20307175	1	398	100		0
621	1	5	3	15	20307174	1	398	100		0
622	1	5	3	16	20307173	1	398	100		0
623	1	5	3	17	20307172	1	398	100		0
624	1	5	3	18	20307171	1	398	100		0
625	1	5	3	19	20307170	1	398	100		0
626	1	5	3	20	20307169	1	398	100		0
627	1	5	3	21	20307168	1	398	100		0
628	1	5	3	22	20307167	1	280	100		0
629	1	5	3	23	20307166	1	280	100		0
630	1	5	3	24	20307165	1	280	100		0
631	1	5	3	25	20307164	1	280	100		0
632	1	5	3	26	20307163	1	280	100		0
633	1	5	3	27	20307162	1	280	100		0
634	1	5	3	28	20307161	1	280	100		0
635	1	5	3	29	20307160	1	280	100		0
636	1	5	3	30	20307159	1	280	100		0
637	1	5	3	31	20307158	1	280	100		0
638	1	5	3	32	20307157	1	280	100		0
639	1	5	3	33	20307156	1	280	100		0
640	1	5	3	34	20307155	1	280	100		0
641	1	5	3	35	20307154	1	280	100		0
642	1	5	3	36	20307153	1	280	100		0
643	1	5	3	37	20307152	1	280	100		0
644	1	5	3	38	20307151	1	280	100		0
645	1	5	3	39	20307150	1	280	100		0
646	1	5	3	40	20307149	1	280	100		0
647	1	5	3	41	20307148	1	280	100		0
648	1	5	3	42	20307147	1	280	100		0
649	1	5	3	43	20307146	1	280	100		0
650	1	5	3	44	20307145	1	280	100		0
651	1	5	3	45	20307144	1	280	100		0
652	1	5	3	46	20307143	1	280	100		0
653	1	5	3	47	20307142	1	280	100		0
654	1	5	3	48	20307141	1	280	100		0
655	1	5	3	49	20307140	1	280	100		0
656	1	5	3	50	20307139	1	280	100		0
657	1	5	3	51	20307138	1	280	100		0
658	1	5	3	52	20307137	1	280	100		0
659	1	5	3	53	20307136	1	280	100		0
660	1	5	3	54	20307135	1	280	100		0
661	1	5	3	55	20307134	1	280	100		0
662	1	5	3	56	20307133	1	198	100		0
663	1	5	3	57	20307132	1	198	100		0
664	1	5	3	58	20307131	1	198	100		0
665	1	5	3	59	20307130	1	198	100		0
666	1	5	3	60	20307129	1	198	100		0
667	1	5	3	61	20307128	1	198	100		0
668	1	5	3	62	20307127	1	198	100		0
669	1	5	3	63	20307126	1	198	100		0
670	1	5	3	64	20307125	1	198	100		0
671	1	5	3	65	20307124	1	198	100		0
672	1	5	3	66	20307123	1	198	100		0
673	1	5	3	67	20307122	1	198	100		0
674	1	5	3	68	20307121	1	198	100		0
675	1	5	3	69	20307120	1	198	100		0
676	1	5	3	70	20307119	1	198	100		0
677	1	5	3	71	20307118	1	198	100		0
678	1	5	3	72	20307117	1	198	100		0
679	1	5	3	73	20307116	1	198	100		0
680	1	5	3	74	20307115	1	198	100		0
681	1	5	3	75	20307114	1	198	100		0
682	1	5	3	76	20307113	1	198	100		0
683	1	5	3	77	20307112	1	198	100		0
684	1	5	3	78	20307111	1	198	100		0
685	1	5	3	79	20307110	1	198	100		0
686	1	5	3	80	20307109	1	198	100		0
687	1	5	3	81	20307108	1	198	100		0
688	1	5	3	82	20307107	1	198	100		0
689	1	5	3	83	20307106	1	198	100		0
690	1	5	3	84	20307105	1	198	100		0
691	1	5	3	85	20307104	1	198	100		0
692	1	5	3	86	20307103	1	198	100		0
693	1	5	3	87	20307102	1	198	100		0
694	1	5	3	88	20307101	1	198	100		0
695	1	5	4	1	30008039	1	480	80		0
696	1	5	4	2	30008020	1	998	100		0
697	1	5	4	3	30503140	1	150	100		0
698	1	5	5	1	30503134	1	10	100		0
699	1	5	5	2	30503136	1	60	100		0
700	1	5	5	3	30503135	1	15	100		0
701	1	5	5	4	59000011	1	4800	100		0
702	1	5	5	5	59000022	1	4800	100		0
703	1	5	5	6	59000033	1	4800	100		0
704	1	5	5	7	59000010	1	4800	100		0
705	1	5	5	8	59000021	1	4800	100		0
706	1	5	5	9	59000032	1	4800	100		0
707	1	5	5	10	59000009	1	4800	100		0
708	1	5	5	11	59000020	1	4800	100		0
709	1	5	5	12	59000031	1	4800	100		0
710	1	5	5	13	59000008	1	4800	100		0
711	1	5	5	14	59000019	1	4800	100		0
712	1	5	5	15	59000030	1	4800	100		0
713	1	5	5	16	59000007	1	4800	100		0
714	1	5	5	17	59000018	1	4800	100		0
715	1	5	5	18	59000029	1	4800	100		0
716	1	5	5	19	59000006	1	4800	100		0
717	1	5	5	20	59000017	1	4800	100		0
718	1	5	5	21	59000028	1	4800	100		0
719	1	5	5	22	59000005	1	4800	100		0
720	1	5	5	23	59000016	1	4800	100		0
721	1	5	5	24	59000027	1	4800	100		0
722	1	5	5	25	59000004	1	4800	100		0
723	1	5	5	26	59000015	1	4800	100		0
724	1	5	5	27	59000026	1	4800	100		0
725	1	5	5	28	59000003	1	4800	100		0
726	1	5	5	29	59000014	1	4800	100		0
727	1	5	5	30	59000025	1	4800	100		0
728	1	5	5	31	59000002	1	4800	100		0
729	1	5	5	32	59000013	1	4800	100		0
730	1	5	5	33	59000024	1	4800	100		0
731	1	5	5	34	59000001	1	4800	100		0
732	1	5	5	35	59000012	1	4800	100		0
733	1	5	5	36	59000023	1	4800	100		0
734	1	5	6	1	10149046	1	30000	100		0
735	1	5	6	2	10141824	1	28888	100		0
736	1	5	6	3	10141825	1	31999	100		0
737	1	5	6	4	10141826	1	38000	100		0
738	1	5	6	5	10141827	1	38000	100		0
739	1	5	6	6	10141830	1	38000	100		0
740	1	5	6	7	10141829	1	38000	100		0
741	1	5	6	8	10149002	1	30000	100		0
742	1	5	6	9	10141809	1	33298	100		0
743	1	5	6	10	10149001	1	30000	100		0
744	1	5	6	11	10141811	1	30000	100		0
745	1	5	6	12	10141810	1	30000	100		0
746	1	5	6	13	10149069	1	30000	100		0
747	1	5	6	14	10149068	1	30000	100		0
748	1	5	6	15	10149067	1	38000	100		0
749	1	5	6	16	10149066	1	30000	100		0
750	1	5	6	17	10149065	1	30000	100		0
751	1	5	6	18	10149064	1	30000	100		0
752	1	5	6	19	10149058	1	30000	100		0
753	1	5	6	20	10149057	1	30000	100		0
754	1	5	6	21	10149056	1	30000	100		0
755	1	5	6	22	10149055	1	30000	100		0
756	1	5	6	23	10149054	1	30000	100		0
757	1	5	6	24	10149053	1	30000	100		0
758	1	5	6	25	10149052	1	30000	100		0
759	1	5	6	26	10149051	1	30000	100		0
760	1	5	6	27	10149050	1	30000	100		0
761	1	5	6	28	10149049	1	38000	100		0
762	1	5	6	29	10149045	1	28000	100		0
763	1	5	6	30	10149044	1	28000	100		0
764	1	5	6	31	10149042	1	28000	100		0
765	1	5	6	32	10149041	1	28000	100		0
766	1	5	6	33	10149039	1	30000	100		0
767	1	5	6	34	10149038	1	30000	100		0
768	1	5	6	35	10149037	1	30000	100		0
769	1	5	6	36	10149036	1	20000	100		0
770	1	5	6	37	10149032	1	20000	100		0
771	1	5	6	38	10149030	1	20000	100		0
772	1	5	6	39	10149019	1	10000	100		0
773	1	5	6	40	10149018	1	10000	100		0
774	1	5	6	41	10149017	1	10000	100		0
775	1	5	6	42	10149016	1	25000	100		0
776	1	5	6	43	10149015	1	15000	100		0
777	1	5	6	44	10149014	1	15000	100		0
778	1	5	6	45	10149012	1	20000	100		0
779	1	5	6	46	10149011	1	20000	100		0
780	1	5	6	47	10149010	1	20000	100		0
781	1	5	6	48	10149009	1	10000	100		0
782	1	5	6	49	10149008	1	10000	100		0
783	1	5	6	50	10141083	1	10000	100		0
784	1	5	6	51	10141104	1	10000	100		0
785	1	5	7	1	10149099	1	32999	100		0
786	1	5	7	2	10149098	1	32999	100		0
787	1	5	7	3	10149097	1	32999	100		0
788	1	5	7	4	10149096	1	32999	100		0
789	1	5	7	5	10149095	1	32999	100		0
790	1	5	7	6	10149094	1	32999	100		0
791	1	5	7	7	10149093	1	32999	100		0
792	1	5	7	8	10149092	1	32999	100		0
793	1	5	7	9	10149091	1	32999	100		0
794	1	5	7	10	10149090	1	32999	100		0
795	1	5	7	11	10149087	1	32999	100		0
796	1	5	7	12	10149086	1	32999	100		0
797	1	5	7	13	10149085	1	32999	100		0
798	1	5	7	14	10149084	1	32999	100		0
799	1	5	7	15	10141816	1	32999	100		0
800	1	5	7	16	10141863	1	32999	100		0
801	1	5	7	17	10141864	1	32999	100		0
802	1	5	7	18	10141862	1	32999	100		0
803	1	5	7	19	10141861	1	39999	100		0
804	1	5	7	20	10141860	1	39999	100		0
805	1	5	7	21	10141859	1	39999	100		0
806	1	5	7	22	10141858	1	39999	100		0
807	1	5	7	23	10141857	1	39999	100		0
808	1	5	7	24	10141856	1	28888	100		0
809	1	5	7	25	10141855	1	28888	100		0
810	1	5	7	26	10141854	1	28888	100		0
811	1	5	7	27	10141853	1	28888	100		0
812	1	5	7	28	10141852	1	28888	100		0
813	1	5	7	29	10141850	1	28888	100		0
814	1	5	7	30	10141849	1	28888	100		0
815	1	5	7	31	10141848	1	28888	100		0
816	1	5	7	32	10141847	1	28888	100		0
817	1	5	7	33	10141846	1	28888	100		0
818	1	5	7	34	10141845	1	28888	100		0
819	1	5	7	35	10141844	1	28888	100		0
820	1	5	7	36	10141843	1	28888	100		0
821	1	5	7	37	10141842	1	28888	100		0
822	1	5	7	38	10141841	1	28888	100		0
823	1	5	7	39	10141840	1	28888	100		0
824	1	5	7	40	10141839	1	28888	100		0
825	1	5	7	41	10141838	1	26666	100		0
826	1	5	7	42	10141837	1	26666	100		0
827	1	5	7	43	10141836	1	26666	100		0
828	1	5	7	44	10141835	1	26666	100		0
829	1	5	7	45	10141834	1	26666	100		0
830	1	5	7	46	10141833	1	26666	100		0
831	1	5	7	47	10141832	1	26666	100		0
832	1	5	7	48	10141831	1	26666	100		0
833	1	5	7	49	10149101	1	26666	100		0
834	1	5	7	50	10149102	1	26666	100		0
835	1	5	7	51	10149103	1	26666	100		0
836	1	5	7	52	10149105	1	26666	100		0
837	1	5	7	53	10149106	1	26666	100		0
838	1	5	7	54	10149107	1	26666	100		0
839	1	5	7	55	10149108	1	26666	100		0
840	1	5	7	56	10149109	1	26666	100		0
841	1	6	1	1	30509014	1	5120	100		0
842	1	6	1	2	30509011	1	5120	100		0
843	1	6	1	3	38000497	1	5120	100		0
844	1	6	1	4	38000500	1	5120	100		0
845	1	6	1	5	38000580	1	5120	100		0
846	1	6	1	6	38001171	1	5120	100		0
847	1	7	1	1	30308059	1	800	100		0
848	1	7	1	2	30308055	1	1996	100		0
849	1	7	1	3	30308295	1	1960	100		0
850	1	7	1	4	30308296	1	1400	100		0
851	1	7	1	5	30308297	1	1960	100		0
852	1	7	1	6	30308298	1	1960	100		0
853	1	7	1	7	30308288	1	2960	100		0
854	1	7	1	8	30308289	1	2400	100		0
855	1	7	1	9	30308290	1	2960	100		0
856	1	7	1	10	30308291	1	2960	100		0
857	1	7	1	11	30308281	1	1960	100		0
858	1	7	1	12	30308282	1	1400	100		0
859	1	7	1	13	30308283	1	1960	100		0
860	1	7	1	14	30308284	1	1960	100		0
861	1	7	1	15	30308274	1	1960	100		0
862	1	7	1	16	30308275	1	1400	100		0
863	1	7	1	17	30308276	1	1960	100		0
864	1	7	1	18	30308277	1	1960	100		0
865	1	7	1	19	30308154	1	1960	100		0
866	1	7	1	20	30308098	1	1960	100		0
867	1	7	1	21	30308100	1	1400	100		0
868	1	7	1	22	30308099	1	1960	100		0
869	1	7	1	23	30308002	1	1960	100		0
870	1	7	1	24	30308011	1	1400	100		0
871	1	7	1	25	30308045	1	1960	100		0
872	1	7	1	26	30308075	1	1960	100		0
873	1	7	1	27	30308003	1	1960	100		0
874	1	7	1	28	30308012	1	1400	100		0
875	1	7	1	29	30308070	1	1960	100		0
876	1	7	1	30	30308091	1	1960	100		0
877	1	7	1	31	30308004	1	1960	100		0
878	1	7	1	32	30308013	1	1400	100		0
879	1	7	1	33	30308060	1	1960	100		0
880	1	7	1	34	30308089	1	1960	100		0
881	1	7	1	35	30308005	1	1960	100		0
882	1	7	1	36	30308014	1	1400	100		0
883	1	7	1	37	30308066	1	1960	100		0
884	1	7	1	38	30308087	1	1960	100		0
885	1	7	1	39	30308006	1	1960	100		0
886	1	7	1	40	30308015	1	1400	100		0
887	1	7	1	41	30308043	1	1960	100		0
888	1	7	1	42	30308093	1	1960	100		0
889	1	7	1	43	30308007	1	1960	100		0
890	1	7	1	44	30308016	1	1400	100		0
891	1	7	1	45	30308067	1	1960	100		0
892	1	7	1	46	30308088	1	1960	100		0
893	1	7	1	47	30308008	1	1960	100		0
894	1	7	1	48	30308017	1	1400	100		0
895	1	7	1	49	30308068	1	1960	100		0
896	1	7	1	50	30308076	1	1960	100		0
897	1	7	1	51	30308009	1	1960	100		0
898	1	7	1	52	30308018	1	1400	100		0
899	1	7	1	53	30308071	1	1960	100		0
900	1	7	1	54	30308092	1	1960	100		0
901	1	7	1	55	30308010	1	1960	100		0
902	1	7	1	56	30308019	1	1400	100		0
903	1	7	1	57	30308069	1	1960	100		0
904	1	7	1	58	30308090	1	1960	100		0
905	1	7	2	1	30308299	1	2800	100		0
906	1	7	2	2	30308300	1	2800	100		0
907	1	7	2	3	30308301	1	2800	100		0
908	1	7	2	4	30308292	1	2800	100		0
909	1	7	2	5	30308293	1	2800	100		0
910	1	7	2	6	30308294	1	2800	100		0
911	1	7	2	7	30308285	1	1800	100		0
912	1	7	2	8	30308286	1	1800	100		0
913	1	7	2	9	30308287	1	1800	100		0
914	1	7	2	10	30308278	1	1800	100		0
915	1	7	2	11	30308279	1	1800	100		0
916	1	7	2	12	30308280	1	1800	100		0
917	1	7	2	13	30308110	1	1800	100		0
918	1	7	2	14	30308120	1	1800	100		0
919	1	7	2	15	30308130	1	1800	100		0
920	1	7	2	16	30308101	1	1800	100		0
921	1	7	2	17	30308111	1	1800	100		0
922	1	7	2	18	30308121	1	1800	100		0
923	1	7	2	19	30308102	1	1800	100		0
924	1	7	2	20	30308112	1	1800	100		0
925	1	7	2	21	30308122	1	1800	100		0
926	1	7	2	22	30308103	1	1800	100		0
927	1	7	2	23	30308113	1	1800	100		0
928	1	7	2	24	30308123	1	1800	100		0
929	1	7	2	25	30308104	1	1800	100		0
930	1	7	2	26	30308114	1	1800	100		0
931	1	7	2	27	30308124	1	1800	100		0
932	1	7	2	28	30308105	1	1800	100		0
933	1	7	2	29	30308115	1	1800	100		0
934	1	7	2	30	30308125	1	1800	100		0
935	1	7	2	31	30308106	1	1800	100		0
936	1	7	2	32	30308116	1	1800	100		0
937	1	7	2	33	30308126	1	1800	100		0
938	1	7	2	34	30308107	1	1800	100		0
939	1	7	2	35	30308117	1	1800	100		0
940	1	7	2	36	30308127	1	1800	100		0
941	1	7	2	37	30308108	1	1800	100		0
942	1	7	2	38	30308118	1	1800	100		0
943	1	7	2	39	30308128	1	1800	100		0
944	1	7	2	40	30308109	1	1800	100		0
945	1	7	2	41	30308119	1	1800	100		0
946	1	7	2	42	30308129	1	1800	100		0
947	1	8	1	1	20308011	10	200	100		0
948	1	8	1	2	20308012	10	200	100		0
949	1	8	1	3	20308003	10	200	100		0
950	1	8	1	4	20308013	10	200	100		0
951	1	8	1	5	20308004	10	200	100		0
952	1	8	1	6	20308014	10	200	100		0
953	1	8	1	7	20308005	10	200	100		0
954	1	8	1	8	20308015	10	200	100		0
955	1	8	1	9	20308006	10	200	100		0
956	1	8	1	10	20308016	10	200	100		0
957	1	8	1	11	20308007	10	200	100		0
958	1	8	1	12	20308017	10	200	100		0
959	1	8	1	13	20308008	10	200	100		0
960	1	8	1	14	20308018	10	200	100		0
961	1	8	1	15	20308009	10	200	100		0
962	1	8	1	16	20308019	10	200	100		0
963	1	8	1	17	20308010	10	200	100		0
964	1	8	1	18	20308020	10	200	100		0
965	1	8	2	1	20308021	10	200	100		0
966	1	8	2	2	20308031	10	200	100		0
967	1	8	2	3	20308022	10	200	100		0
968	1	8	2	4	20308032	10	200	100		0
969	1	8	2	5	20308023	10	200	100		0
970	1	8	2	6	20308033	10	200	100		0
971	1	8	2	7	20308024	10	200	100		0
972	1	8	2	8	20308034	10	200	100		0
973	1	8	2	9	20308025	10	200	100		0
974	1	8	2	10	20308035	10	200	100		0
975	1	8	2	11	20308026	10	200	100		0
976	1	8	2	12	20308036	10	200	100		0
977	1	8	2	13	20308027	10	200	100		0
978	1	8	2	14	20308037	10	200	100		0
979	1	8	2	15	20308028	10	200	100		0
980	1	8	2	16	20308038	10	200	100		0
981	1	8	2	17	20308029	10	200	100		0
982	1	8	2	18	20308039	10	200	100		0
983	1	8	2	19	20308030	10	200	100		0
984	1	8	2	20	20308040	10	200	100		0
985	1	8	3	1	20308041	10	200	100		0
986	1	8	3	2	20308051	10	200	100		0
987	1	8	3	3	20308042	10	200	100		0
988	1	8	3	4	20308052	10	200	100		0
989	1	8	3	5	20308043	10	200	100		0
990	1	8	3	6	20308053	10	200	100		0
991	1	8	3	7	20308044	10	200	100		0
992	1	8	3	8	20308054	10	200	100		0
993	1	8	3	9	20308045	10	200	100		0
994	1	8	3	10	20308055	10	200	100		0
995	1	8	3	11	20308046	10	200	100		0
996	1	8	3	12	20308056	10	200	100		0
997	1	8	3	13	20308047	10	200	100		0
998	1	8	3	14	20308057	10	200	100		0
999	1	8	3	15	20308048	10	200	100		0
1000	1	8	3	16	20308058	10	200	100		0
1001	1	8	3	17	20308049	10	200	100		0
1002	1	8	3	18	20308059	10	200	100		0
1003	1	8	3	19	20308050	10	200	100		0
1004	1	8	3	20	20308060	10	200	100		0
1005	1	8	4	1	20308061	10	200	100		0
1006	1	8	4	2	20308071	10	200	100		0
1007	1	8	4	3	20308062	10	200	100		0
1008	1	8	4	4	20308072	10	200	100		0
1009	1	8	4	5	20308063	10	200	100		0
1010	1	8	4	6	20308073	10	200	100		0
1011	1	8	4	7	20308064	10	200	100		0
1012	1	8	4	8	20308074	10	200	100		0
1013	1	8	4	9	20308065	10	200	100		0
1014	1	8	4	10	20308075	10	200	100		0
1015	1	8	4	11	20308066	10	200	100		0
1016	1	8	4	12	20308076	10	200	100		0
1017	1	8	4	13	20308067	10	200	100		0
1018	1	8	4	14	20308077	10	200	100		0
1019	1	8	4	15	20308068	10	200	100		0
1020	1	8	4	16	20308078	10	200	100		0
1021	1	8	4	17	20308069	10	200	100		0
1022	1	8	4	18	20308079	10	200	100		0
1023	1	8	4	19	20308070	10	200	100		0
1024	1	8	4	20	20308080	10	200	100		0
1025	1	8	5	1	20308081	10	200	100		0
1026	1	8	5	2	20308091	10	200	100		0
1027	1	8	5	3	20308082	10	200	100		0
1028	1	8	5	4	20308092	10	200	100		0
1029	1	8	5	5	20308083	10	200	100		0
1030	1	8	5	6	20308093	10	200	100		0
1031	1	8	5	7	20308084	10	200	100		0
1032	1	8	5	8	20308094	10	200	100		0
1033	1	8	5	9	20308085	10	200	100		0
1034	1	8	5	10	20308095	10	200	100		0
1035	1	8	5	11	20308086	10	200	100		0
1036	1	8	5	12	20308096	10	200	100		0
1037	1	8	5	13	20308087	10	200	100		0
1038	1	8	5	14	20308097	10	200	100		0
1039	1	8	5	15	20308088	10	200	100		0
1040	1	8	5	16	20308098	10	200	100		0
1041	1	8	5	17	20308089	10	200	100		0
1042	1	8	5	18	20308099	10	200	100		0
1043	1	8	5	19	20308090	10	200	100		0
1044	1	8	5	20	20308100	10	200	100		0
1045	1	8	6	1	20308131	10	200	100		0
1046	1	8	6	2	20308141	10	200	100		0
1047	1	8	6	3	20308132	10	200	100		0
1048	1	8	6	4	20308142	10	200	100		0
1049	1	8	6	5	20308133	10	200	100		0
1050	1	8	6	6	20308143	10	200	100		0
1051	1	8	6	7	20308134	10	200	100		0
1052	1	8	6	8	20308144	10	200	100		0
1053	1	8	6	9	20308135	10	200	100		0
1054	1	8	6	10	20308145	10	200	100		0
1055	1	8	6	11	20308136	10	200	100		0
1056	1	8	6	12	20308146	10	200	100		0
1057	1	8	6	13	20308137	10	200	100		0
1058	1	8	6	14	20308147	10	200	100		0
1059	1	8	6	15	20308138	10	200	100		0
1060	1	8	6	16	20308148	10	200	100		0
1061	1	8	6	17	20308139	10	200	100		0
1062	1	8	6	18	20308149	10	200	100		0
1063	1	8	6	19	20308140	10	200	100		0
1064	1	8	6	20	20308150	10	200	100		0
1065	1	8	7	1	20308151	10	200	100		0
1066	1	8	7	2	20308101	10	200	100		0
1067	1	8	7	3	20308152	10	200	100		0
1068	1	8	7	4	20308102	10	200	100		0
1069	1	8	7	5	20308153	10	200	100		0
1070	1	8	7	6	20308103	10	200	100		0
1071	1	8	7	7	20308154	10	200	100		0
1072	1	8	7	8	20308104	10	200	100		0
1073	1	8	7	9	20308155	10	200	100		0
1074	1	8	7	10	20308105	10	200	100		0
1075	1	8	7	11	20308156	10	200	100		0
1076	1	8	7	12	20308106	10	200	100		0
1077	1	8	7	13	20308157	10	200	100		0
1078	1	8	7	14	20308107	10	200	100		0
1079	1	8	7	15	20308158	10	200	100		0
1080	1	8	7	16	20308108	10	200	100		0
1081	1	8	7	17	20308159	10	200	100		0
1082	1	8	7	18	20308109	10	200	100		0
1083	1	8	7	19	20308160	10	200	100		0
1084	1	8	7	20	20308110	10	200	100		0
1085	1	8	8	1	20308111	10	200	100		0
1086	1	8	8	2	20308121	10	200	100		0
1087	1	8	8	3	20308112	10	200	100		0
1088	1	8	8	4	20308122	10	200	100		0
1089	1	8	8	5	20308113	10	200	100		0
1090	1	8	8	6	20308123	10	200	100		0
1091	1	8	8	7	20308114	10	200	100		0
1092	1	8	8	8	20308124	10	200	100		0
1093	1	8	8	9	20308115	10	200	100		0
1094	1	8	8	10	20308125	10	200	100		0
1095	1	8	8	11	20308116	10	200	100		0
1096	1	8	8	12	20308126	10	200	100		0
1097	1	8	8	13	20308117	10	200	100		0
1098	1	8	8	14	20308127	10	200	100		0
1099	1	8	8	15	20308118	10	200	100		0
1100	1	8	8	16	20308128	10	200	100		0
1101	1	8	8	17	20308119	10	200	100		0
1102	1	8	8	18	20308129	10	200	100		0
1103	1	8	8	19	20308120	10	200	100		0
1104	1	8	8	20	20308130	10	200	100		0
1105	2	1	1	1	30309924	1	5000	100		0
1106	2	1	1	2	30309908	1	20000000	100		0
1107	2	1	1	3	30505219	1	500000	100		0
1108	2	1	1	4	38000807	1	5000	100		0
1109	2	1	1	5	38000956	1	5000	100		0
1110	2	1	1	6	30103056	1	50000	100		0
1111	2	1	1	7	31000004	1	20000	100		0
1112	2	1	1	8	38001002	1	200000	100		0
1113	2	1	1	9	38001178	1	200000	100		0
1114	2	1	1	10	38001111	1	10000000	100		0
1115	2	1	1	11	20310168	20	5000	100		0
1116	2	1	1	12	20700055	20	40000	100		0
1117	2	1	1	13	20310176	1	5000	100		0
1118	2	1	1	14	38000390	1	500	100		0
1119	2	1	1	15	38000391	1	5000	100		0
1120	2	1	1	16	38000392	1	50000	100		0
1121	2	1	1	17	38000571	1	5000	100		0
1122	2	1	1	18	20800033	1	10000	100		0
1123	2	1	1	19	20800031	1	10000	100		0
1124	2	1	1	20	30103119	1	5000	100		0
1125	2	1	1	21	20800039	1	10000	100		
1126	2	1	1	22	20800041	1	10000	100		0
1127	2	1	1	23	20800043	1	10000	100		0
1128	2	1	1	24	20310114	1	15000	100		0
1129	2	1	1	25	30900014	1	10000	100		0
1130	2	1	2	1	30310001	1	294000	100		0
1131	2	1	2	2	30310010	1	294000	100		0
1132	2	1	2	3	30310019	1	294000	100		0
1133	2	1	2	4	30310028	1	294000	100		0
1134	2	1	2	5	30310037	1	294000	100		0
1135	2	1	2	6	30310046	1	294000	100		0
1136	2	1	2	7	30310055	1	294000	100		0
1137	2	1	2	8	30310064	1	294000	100		0
1138	2	1	2	9	30310073	1	294000	100		0
1139	2	1	2	10	30310082	1	294000	100		0
1140	2	1	2	11	30310097	1	294000	100		0
1141	2	1	2	12	30310107	1	294000	100		0
1142	2	1	2	13	30310108	1	294000	100		0
1143	2	1	2	14	30310109	1	294000	100		0
1144	2	1	2	15	30310110	1	294000	100		0
1145	2	1	2	16	30310111	1	294000	100		0
1146	2	1	2	17	30310098	1	294000	100		0
1147	2	1	2	18	30310101	1	294000	100		0
1148	2	1	2	19	30310099	1	294000	100		0
1149	2	1	2	20	30310100	1	294000	100		0
1150	2	1	2	21	30310002	1	294000	100		0
1151	2	1	2	22	30310003	1	294000	100		0
1152	2	1	2	23	30310004	1	294000	100		0
1153	2	1	2	24	30310005	1	294000	100		0
1154	2	1	2	25	30310011	1	294000	100		0
1155	2	1	2	26	30310012	1	294000	100		0
1156	2	1	2	27	30310093	1	294000	100		0
1157	2	1	2	28	30310013	1	294000	100		0
1158	2	1	2	29	30310014	1	294000	100		0
1159	2	1	2	30	30310020	1	294000	100		0
1160	2	1	2	31	30310021	1	294000	100		0
1161	2	1	2	32	30310022	1	294000	100		0
1162	2	1	2	33	30310023	1	294000	100		0
1163	2	1	2	34	30310029	1	294000	100		0
1164	2	1	2	35	30310030	1	294000	100		0
1165	2	1	2	36	30310031	1	294000	100		0
1166	2	1	2	37	30310032	1	294000	100		0
1167	2	1	2	38	30310038	1	294000	100		0
1168	2	1	2	39	30310039	1	294000	100		0
1169	2	1	2	40	30310040	1	294000	100		0
1170	2	1	2	41	30310041	1	294000	100		0
1171	2	1	2	42	30310047	1	294000	100		0
1172	2	1	2	43	30310049	1	294000	100		0
1173	2	1	2	44	30310050	1	294000	100		0
1174	2	1	2	45	30310048	1	294000	100		0
1175	2	1	2	46	30310056	1	294000	100		0
1176	2	1	2	47	30310057	1	294000	100		0
1177	2	1	2	48	30310058	1	294000	100		0
1178	2	1	2	49	30310059	1	294000	100		0
1179	2	1	2	50	30310065	1	294000	100		0
1180	2	1	2	51	30310066	1	294000	100		0
1181	2	1	2	52	30310067	1	294000	100		0
1182	2	1	2	53	30310068	1	294000	100		0
1183	2	1	2	54	30310074	1	294000	100		0
1184	2	1	2	55	30310075	1	294000	100		0
1185	2	1	2	56	30310076	1	294000	100		0
1186	2	1	2	57	30310077	1	294000	100		0
1187	2	1	2	58	30310084	1	294000	100		0
1188	2	1	2	59	30310085	1	294000	100		0
1189	2	1	2	60	30310086	1	294000	100		0
1190	2	1	2	61	30310095	1	294000	100		0
1191	2	1	3	1	30310112	1	294000	100		0
1192	2	1	3	2	30310113	1	294000	100		0
1193	2	1	3	3	30310114	1	294000	100		0
1194	2	1	3	4	30310115	1	294000	100		0
1195	2	1	3	5	30310102	1	294000	100		0
1196	2	1	3	6	30310105	1	294000	100		0
1197	2	1	3	7	30310103	1	294000	100		0
1198	2	1	3	8	30310104	1	294000	100		0
1199	2	1	3	9	30310006	1	294000	100		0
1200	2	1	3	10	30310007	1	294000	100		0
1201	2	1	3	11	30310008	1	294000	100		0
1202	2	1	3	12	30310009	1	294000	100		0
1203	2	1	3	13	30310015	1	294000	100		0
1204	2	1	3	14	30310016	1	294000	100		0
1205	2	1	3	15	30310017	1	294000	100		0
1206	2	1	3	16	30310018	1	294000	100		0
1207	2	1	3	17	30310024	1	294000	100		0
1208	2	1	3	18	30310025	1	294000	100		0
1209	2	1	3	19	30310026	1	294000	100		0
1210	2	1	3	20	30310027	1	294000	100		0
1211	2	1	3	21	30310033	1	294000	100		0
1212	2	1	3	22	30310034	1	294000	100		0
1213	2	1	3	23	30310035	1	294000	100		0
1214	2	1	3	24	30310036	1	294000	100		0
1215	2	1	3	25	30310042	1	294000	100		0
1216	2	1	3	26	30310043	1	294000	100		0
